NOME DE PREGÃO,SEGMENTO,Demonstrações Financeiras do Exercício,Unnamed: 3,Unnamed: 4,Unnamed: 5,Assembléia Geral Ordinária,Unnamed: 7,Formulário de Referência,Unnamed: 9,Reunião Pública com Analistas,Unnamed: 11,Informações do 1º Trimestre - ITR,Unnamed: 13,Informações do 2º Trimestre - ITR,Unnamed: 15,Informações do 3º Trimestre - ITR,Unnamed: 17,Apresentação Pública sobre Divulgação de Resultados,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atualizado,18/02/2021
,,Demonstrações Financeiras Anuais Completas,,Padronizadas - DFP,,,,,,,,,,,,,,Exercício Social,,1º trimestre,,2º trimestre,,3º trimestre,,,,
,,Previsão,Entrega,Previsão,Entrega,Previsão,Realização ,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Entrega,Previsão,Entrega,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,,,
3R PETROLEUM,NM,19/03/2021,,19/03/2021,,26/04/2021,,31/05/2021,,,,12/05/2021,,04/08/2021,,10/11/2021,,19/03/2021,19/01/2021,13/05/2021,,05/08/2021,,11/11/2021,,,,
ABC BRASIL,N2,08/02/2021,,08/02/2021,08/02/2021,16/04/2021,,28/05/2021,,01/11/2020,,14/05/2021,,06/08/2021,,04/11/2021,,,,,,,,,,,,
AERIS,NM,09/02/2021,,09/02/2021,09/02/2021,24/03/2021,,24/05/2021,,,,12/05/2021,,03/08/2021,,09/11/2021,,10/02/2021,10/02/2021,13/05/2021,,04/08/2021,,10/11/2021,,,,
AES TIETE E,N2,24/02/2021,,24/02/2021,,28/04/2021,,31/05/2021,,07/12/2021,,05/05/2021,,04/08/2021,,03/11/2021,,,,,,,,,,,,
ALIANSCSONAE,NM,10/03/2021,,10/03/2021,,30/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,11/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
ALLIAR,NM,17/03/2021,,17/03/2021,,26/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,18/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
ALPARGATAS,N1,12/02/2021,,12/02/2021,12/02/2021,22/04/2021,,31/05/2021,,01/12/2021,18/02/2021,03/05/2021,,30/07/2021,,28/10/2021,,,,,,,,,,,,
ALPER S.A.,NM,25/03/2021,,25/03/2021,,28/04/2021,,31/05/2021,,,,06/05/2021,,12/08/2021,,04/11/2021,,26/03/2021,,07/05/2021,,13/08/2021,,05/11/2021,,,,
ALPHAVILLE,NM,29/03/2021,,29/03/2021,,29/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
ALUPAR,N2,10/03/2021,,10/03/2021,,27/04/2021,,27/05/2021,,01/11/2021,,10/05/2021,,09/08/2021,,09/11/2021,,,,,,,,,,,,
AMBIPAR,NM,24/03/2021,,24/03/2021,,30/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,25/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
ANIMA,NM,17/03/2021,,17/03/2021,,26/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,15/11/2021,,18/03/2021,,13/05/2021,,12/08/2021,,16/11/2021,,,,
